date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:40	86676/86676	---MCZ	200	added ('OK')	text/html	etag:W/%22654f66c1-15294%22	https://thetork.com/demos/html/bitrader/index.html?theme=dark	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/index4965.html	(from )
12:07:41	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Feb%202024%2006:37:44%20GMT	https://thetork.com/robots.txt		(from )
12:07:42	86676/86676	---M-Z	200	added ('OK')	text/html	etag:%2215294-609ded1ae1658-gzip%22	https://thetork.com/demos/html/bitrader/	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/index.html	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:43	690/690	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-2b2%22	https://thetork.com/demos/html/bitrader/assets/images/favicon.png	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/images/favicon.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:43	314705/314705	---M--	200	added ('OK')	image/png	etag:%2264afb9fd-4cd51%22	https://thetork.com/demos/html/bitrader/assets/images/og.png	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/images/og.png	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:43	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2264b7a9d1-38dd2%22	https://thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/css/bootstrap.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:43	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-65c5%22	https://thetork.com/demos/html/bitrader/assets/css/aos.css	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/css/aos.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:44	102025/102025	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-18e89%22	https://thetork.com/demos/html/bitrader/assets/css/all.min.css	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/css/all.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:44	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%2264afb9fd-406d%22	https://thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/css/swiper-bundle.min.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
12:07:45	259734/259734	---MCZ	200	added ('OK')	text/css	etag:W/%22654f66c1-3f696%22	https://thetork.com/demos/html/bitrader/assets/css/style.css	D:/hackmol_5.0/ASAP.NET/thetork.com/demos/html/bitrader/assets/css/style.css	(from https://thetork.com/demos/html/bitrader/index.html?theme=dark)
